Date,Infected,binary_score (1:good   0: bad)
2020-12-15,2400.0,1.0
2020-12-15,2400.0,0.0
2020-12-15,2400.0,1.0
2020-12-15,2400.0,0.0
2020-12-16,2990.0,0.0
2020-12-16,2990.0,0.0
2020-12-16,2990.0,0.0
2020-12-16,2990.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-17,3206.0,0.0
2020-12-18,2832.0,0.0
2020-12-18,2832.0,0.0
2020-12-18,2832.0,0.0
2020-12-19,3040.0,0.0
2020-12-19,3040.0,0.0
2020-12-20,2398.0,0.0
2020-12-20,2398.0,0.0
2020-12-21,1791.0,0.0
2020-12-21,1791.0,0.0
2020-12-21,1791.0,0.0
2020-12-21,1791.0,0.0
2020-12-22,2674.0,0.0
2020-12-22,2674.0,0.0
2020-12-22,2674.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,0.0
2020-12-23,3270.0,1.0
2020-12-24,3797.0,0.0
2020-12-24,3797.0,0.0
2020-12-24,3797.0,0.0
2020-12-25,3934.0,0.0
2020-12-26,3702.0,1.0
2020-12-26,3702.0,0.0
2020-12-26,3702.0,1.0
2020-12-26,3702.0,0.0
2020-12-26,3702.0,0.0
2020-12-27,2942.0,0.0
2020-12-27,2942.0,0.0
2020-12-27,2942.0,0.0
2020-12-27,2942.0,0.0
2020-12-28,2397.0,1.0
2020-12-28,2397.0,0.0
2020-12-28,2397.0,0.0
2020-12-28,2397.0,0.0
2020-12-29,3609.0,1.0
2020-12-29,3609.0,0.0
2020-12-29,3609.0,0.0
2020-12-29,3609.0,1.0
2020-12-29,3609.0,0.0
2020-12-30,3884.0,1.0
2020-12-30,3884.0,0.0
2020-12-30,3884.0,0.0
2020-12-31,4500.0,0.0
2020-12-31,4500.0,0.0
2020-12-31,4500.0,0.0
2020-12-31,4500.0,0.0
2021-01-02,3057.0,1.0
2021-01-02,3057.0,0.0
2021-01-02,3057.0,1.0
2021-01-02,3057.0,0.0
2021-01-03,3139.0,0.0
2021-01-04,3330.0,0.0
2021-01-04,3330.0,0.0
2021-01-05,4958.0,1.0
2021-01-05,4958.0,0.0
2021-01-05,4958.0,0.0
2021-01-05,4958.0,1.0
2021-01-05,4958.0,1.0
2021-01-05,4958.0,0.0
2021-01-06,6066.0,0.0
2021-01-06,6066.0,0.0
2021-01-06,6066.0,0.0
2021-01-06,6066.0,1.0
2021-01-06,6066.0,1.0
2021-01-06,6066.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-07,7793.0,0.0
2021-01-08,8045.0,0.0
2021-01-08,8045.0,0.0
2021-01-09,7528.0,0.0
2021-01-09,7528.0,1.0
2021-01-09,7528.0,1.0
2021-01-09,7528.0,0.0
2021-01-09,7528.0,1.0
2021-01-09,7528.0,0.0
2021-01-10,6130.0,0.0
2021-01-10,6130.0,0.0
2021-01-10,6130.0,0.0
2021-01-10,6130.0,0.0
2021-01-11,4901.0,0.0
2021-01-11,4901.0,0.0
2021-01-11,4901.0,0.0
2021-01-12,4630.0,0.0
2021-01-12,4630.0,0.0
2021-01-12,4630.0,0.0
2021-01-12,4630.0,0.0
2021-01-12,4630.0,0.0
2021-01-13,6086.0,0.0
2021-01-13,6086.0,1.0
2021-01-13,6086.0,0.0
2021-01-13,6086.0,0.0
2021-01-13,6086.0,1.0
2021-01-13,6086.0,0.0
2021-01-13,6086.0,1.0
2021-01-13,6086.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-14,6749.0,0.0
2021-01-15,6795.0,1.0
2021-01-15,6795.0,0.0
2021-01-15,6795.0,0.0
2021-01-15,6795.0,0.0
2021-01-15,6795.0,0.0
2021-01-16,7028.0,1.0
2021-01-16,7028.0,0.0
2021-01-17,5758.0,0.0
2021-01-17,5758.0,0.0
2021-01-17,5758.0,0.0
2021-01-18,4947.0,0.0
2021-01-18,4947.0,0.0
2021-01-19,5355.0,0.0
2021-01-19,5355.0,0.0
2021-01-19,5355.0,0.0
2021-01-19,5355.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-20,5643.0,0.0
2021-01-21,5743.0,0.0
2021-01-21,5743.0,0.0
2021-01-21,5743.0,0.0
2021-01-21,5743.0,1.0
2021-01-21,5743.0,0.0
2021-01-21,5743.0,1.0
2021-01-22,4821.0,0.0
2021-01-22,4821.0,0.0
2021-01-23,4711.0,0.0
2021-01-23,4711.0,0.0
2021-01-23,4711.0,0.0
2021-01-23,4711.0,0.0
2021-01-24,3988.0,1.0
2021-01-24,3988.0,1.0
2021-01-24,3988.0,0.0
2021-01-25,2760.0,0.0
2021-01-25,2760.0,0.0
2021-01-25,2760.0,0.0
2021-01-25,2760.0,0.0
2021-01-26,3851.0,0.0
2021-01-26,3851.0,0.0
2021-01-27,3968.0,0.0
2021-01-27,3968.0,0.0
2021-01-27,3968.0,0.0
2021-01-27,3968.0,0.0
2021-01-27,3968.0,1.0
2021-01-27,3968.0,0.0
2021-01-28,4122.0,1.0
2021-01-28,4122.0,0.0
2021-01-28,4122.0,0.0
2021-01-28,4122.0,0.0
2021-01-28,4122.0,1.0
2021-01-28,4122.0,1.0
2021-01-28,4122.0,0.0
2021-01-29,3547.0,1.0
2021-01-29,3547.0,1.0
2021-01-29,3547.0,0.0
2021-01-29,3547.0,0.0
2021-01-30,3330.0,0.0
2021-01-31,2673.0,1.0
2021-01-31,2673.0,1.0
2021-01-31,2673.0,0.0
2021-02-01,1782.0,0.0
2021-02-01,1782.0,0.0
2021-02-01,1782.0,0.0
2021-02-01,1782.0,0.0
2021-02-02,2321.0,0.0
2021-02-02,2321.0,0.0
2021-02-02,2321.0,0.0
2021-02-02,2321.0,1.0
2021-02-02,2321.0,0.0
2021-02-03,2648.0,0.0
2021-02-03,2648.0,1.0
2021-02-03,2648.0,1.0
2021-02-03,2648.0,0.0
2021-02-03,2648.0,0.0
2021-02-03,2648.0,1.0
2021-02-03,2648.0,0.0
2021-02-03,2648.0,0.0
2021-02-04,2574.0,0.0
2021-02-04,2574.0,1.0
2021-02-04,2574.0,0.0
