,Infected,score,infected_scaled,score_scaled
2020-10-22,609.0,-1.0,0.015326417596131348,0.00375
2020-10-22,609.0,1.0,0.015326417596131348,0.00625
2020-10-22,609.0,-2.0,0.015326417596131348,0.0025
2020-10-22,609.0,-3.0,0.015326417596131348,0.00125
2020-10-23,742.0,0.0,0.02051322049762109,0.005
2020-10-23,742.0,-3.0,0.02051322049762109,0.00125
2020-10-23,742.0,-1.0,0.02051322049762109,0.00375
2020-10-23,742.0,0.0,0.02051322049762109,0.005
2020-10-23,742.0,-2.0,0.02051322049762109,0.0025
2020-10-24,712.0,-1.0,0.019343264955931673,0.00375
2020-10-24,712.0,-3.0,0.019343264955931673,0.00125
2020-10-24,712.0,-2.0,0.019343264955931673,0.0025
2020-10-25,486.0,1.0,0.010529599875204743,0.00625
2020-10-25,486.0,4.0,0.010529599875204743,0.01
2020-10-25,486.0,-4.0,0.010529599875204743,0.0
2020-10-25,486.0,-4.0,0.010529599875204743,0.0
2020-10-26,401.0,-3.0,0.007214725840418063,0.00125
2020-10-26,401.0,-4.0,0.007214725840418063,0.0
2020-10-27,646.0,-2.0,0.016769362764214958,0.0025
2020-10-27,646.0,-3.0,0.016769362764214958,0.00125
2020-10-28,724.0,3.0,0.01981124717260744,0.00875
2020-10-28,724.0,-4.0,0.01981124717260744,0.0
2020-10-29,803.0,-4.0,0.022892130099056232,0.0
2020-10-29,803.0,-4.0,0.022892130099056232,0.0
2020-10-29,803.0,0.0,0.022892130099056232,0.005
2020-10-29,803.0,-2.0,0.022892130099056232,0.0025
2020-10-29,803.0,-2.0,0.022892130099056232,0.0025
2020-10-29,803.0,2.0,0.022892130099056232,0.0075
2020-10-30,767.0,-3.0,0.021488183449028937,0.00125
2020-10-30,767.0,0.0,0.021488183449028937,0.005
2020-10-30,767.0,-3.0,0.021488183449028937,0.00125
2020-10-31,866.0,-2.0,0.025349036736604005,0.0025
2020-10-31,866.0,-3.0,0.025349036736604005,0.00125
2020-10-31,866.0,3.0,0.025349036736604005,0.00875
2020-10-31,866.0,-1.0,0.025349036736604005,0.00375
2020-10-31,866.0,-2.0,0.025349036736604005,0.0025
2020-11-01,603.0,2.0,0.015092426487793464,0.0075
2020-11-01,603.0,-3.0,0.015092426487793464,0.00125
2020-11-01,603.0,0.0,0.015092426487793464,0.005
2020-11-01,603.0,-2.0,0.015092426487793464,0.0025
2020-11-02,480.0,-3.0,0.01029560876686686,0.00125
