Year,Pref,#Arrested
2008,Osaka,28042
2008,Hyogo,17965
2008,Nara,3359
2008,Wakayama,2539
2008,Tottori,1532
2008,Shimane,1304
2008,Okayama,5269
2008,Hiroshima,7667
2008,Yamaguchi,4151
2008,Tokushima,2024
2008,Kagawa,2843
2008,Ehime,3764
2008,Kochi,1991
2008,Fukuoka,18125
2008,Saga,1810
2008,Nagasaki,3328
2008,Kumamoto,4687
2008,Oita,2116
2008,Miyazaki,2562
2008,Kagoshima,3012
2008,Okinawa,3872
2007,Hokkaido,13888
2007,Aomori,3087
2007,Iwate,2453
2007,Miyagi,5168
2007,Akita,1996
2007,Yamagata,2356
2007,Fukushima,4872
2007,Tokyo,53702
2007,Ibaraki,6892
2007,Tochigi,5520
2007,Gunma,4282
2007,Saitama,19307
2007,Chiba,17604
2007,Kanagawa,28841
2007,Niigata,5642
2007,Yamanashi,2060
2007,Nagano,4867
2007,Shizuoka,8511
2007,Toyama,2046
2007,Ishikawa,2403
2007,Fukui,1603
2007,Gifu,4529
2007,Aichi,19201
2007,Mie,3890
2007,Shiga,2517
2007,Kyoto,9550
2007,Osaka,30113
2007,Hyogo,19335
2007,Nara,3474
2007,Wakayama,2897
2007,Tottori,1572
2007,Shimane,1418
2007,Okayama,5420
2007,Hiroshima,8179
2007,Yamaguchi,4311
2007,Tokushima,2027
2007,Kagawa,3000
2007,Ehime,3660
2007,Kochi,2193
2007,Fukuoka,18898
2007,Saga,2079
2007,Nagasaki,3753
2007,Kumamoto,4234
2007,Oita,2175
2007,Miyazaki,2868
2007,Kagoshima,3224
2007,Okinawa,3960
2006,Hokkaido,13485
2006,Aomori,3242
2006,Iwate,2677
2006,Miyagi,5585
2006,Akita,2287
2006,Yamagata,2542
2006,Fukushima,5166
2006,Tokyo,58775
2006,Ibaraki,6622
2006,Tochigi,5447
2006,Gunma,4144
2006,Saitama,20255
2006,Chiba,19895
2006,Kanagawa,31447
2006,Niigata,5712
2006,Yamanashi,2047
2006,Nagano,4947
2006,Shizuoka,9038
2006,Toyama,2432
2006,Ishikawa,2957
2006,Fukui,1670
2006,Gifu,4751
2006,Aichi,19946
2006,Mie,4189
2006,Shiga,2639
2006,Kyoto,9941
2006,Osaka,30531
2006,Hyogo,19037
2006,Nara,3793
2006,Wakayama,3030
2006,Tottori,1734
2006,Shimane,1610
2006,Okayama,6123
2006,Hiroshima,7856
2006,Yamaguchi,4318
2006,Tokushima,2036
2006,Kagawa,3171
2006,Ehime,3732
2006,Kochi,2186
2006,Fukuoka,19712
2006,Saga,1762
2006,Nagasaki,3676
2006,Kumamoto,4711
2006,Oita,2730
2006,Miyazaki,3142
2006,Kagoshima,3334
2006,Okinawa,4188
